iter	MultiClass
0	0.6563977232
1	0.4948397213
2	0.3973710746
3	0.3477417046
4	0.3091286504
5	0.2813670209
6	0.2598880725
7	0.2446291698
8	0.2371033608
9	0.2261520466
10	0.218301812
11	0.2133136473
12	0.2066698081
13	0.202356014
14	0.2000274153
15	0.1950732026
16	0.1915509921
17	0.1865472532
18	0.1844446047
19	0.1826756491
20	0.1796916619
21	0.17718379
22	0.1749204384
23	0.1723884706
24	0.169913033
25	0.1686816454
26	0.1678621942
27	0.1663059646
28	0.1651234376
29	0.162489654
30	0.1614239641
31	0.1598559982
32	0.1585676696
33	0.1575627795
34	0.1566380951
35	0.1550593429
36	0.153785287
37	0.1529936562
38	0.1513512651
39	0.1508153687
40	0.1497242903
41	0.1485284111
42	0.147861157
43	0.1473110102
44	0.1469937778
45	0.1458495726
46	0.1454074865
47	0.144851516
48	0.1442008679
49	0.1432922573
50	0.1428832778
51	0.1420830033
52	0.1413462343
53	0.1408702432
54	0.140432761
55	0.1393317789
56	0.1383192076
57	0.1376790213
58	0.1374388917
59	0.1370058573
60	0.1368771671
61	0.1363323764
62	0.1357736571
63	0.1355150306
64	0.1351653641
65	0.134872937
66	0.134481117
67	0.1339604005
68	0.1337988898
69	0.1332137386
70	0.1330421175
71	0.1326322049
72	0.1322155853
73	0.1319923345
74	0.1318968841
75	0.1317797981
76	0.1315336164
77	0.1311130974
78	0.1308974012
79	0.1303829828
80	0.1301649434
81	0.1299819572
82	0.1298083888
83	0.129450341
84	0.1293192476
85	0.1288894592
86	0.1285089901
87	0.128416968
88	0.1283175402
89	0.1277923226
90	0.1273786589
91	0.1272821538
92	0.1267977045
93	0.1265073728
94	0.1262331301
95	0.1259975417
96	0.1258623894
97	0.1257285413
98	0.1256137124
99	0.1254348043
100	0.1251233879
101	0.1250238828
102	0.1245013138
103	0.124415516
104	0.1241445813
105	0.124072959
106	0.1236624384
107	0.1236201638
108	0.1234959042
109	0.123452562
110	0.1233175088
111	0.1230515981
112	0.1228314345
113	0.1227257884
114	0.1224990919
115	0.1221567695
116	0.1217730085
117	0.121697012
118	0.1214786739
119	0.1212590698
120	0.121162943
121	0.1210010879
122	0.1204891934
123	0.1204364768
124	0.1203377016
125	0.1201633739
126	0.1199573708
127	0.1197754443
128	0.1196897045
129	0.119503663
130	0.1193948886
131	0.1192206059
132	0.1190966251
133	0.1190594425
134	0.1189166101
135	0.1187511759
136	0.1185002086
137	0.118355899
138	0.1181728565
139	0.1180792178
140	0.1180400237
141	0.1179515568
142	0.1177332451
143	0.1176842787
144	0.1175338868
145	0.1173907567
146	0.1172284529
147	0.1171035737
148	0.1170751488
149	0.116954337
150	0.1165744216
151	0.1164770115
152	0.1164416676
153	0.1162587278
154	0.1161142246
155	0.1158741604
156	0.1156820327
157	0.1154086453
158	0.1151382955
159	0.1148967511
160	0.1148202067
161	0.1147497814
162	0.1146456308
163	0.1146011943
164	0.1144173483
165	0.1143942236
166	0.114219244
167	0.1140667358
168	0.1139856584
169	0.1138661979
170	0.1138310409
171	0.1137705499
172	0.113741094
173	0.1135871271
174	0.1135207148
175	0.1133106501
176	0.1131717008
177	0.1131470552
178	0.1129363014
179	0.1128242625
180	0.1127722648
181	0.1127590725
182	0.1126482411
183	0.1125831848
184	0.1125189443
185	0.1124403448
186	0.112408508
187	0.1123228266
188	0.1122224381
189	0.1122028706
190	0.1121255803
191	0.1121142428
192	0.1120395253
193	0.1118358438
194	0.1117921652
195	0.1116670705
196	0.1116193994
197	0.1115011074
198	0.11133953
199	0.1113119537
